Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1216at7147	Complete	CM034722.1:17340552-17333778	17340552	17333778	-	2711.2	1369	https://www.orthodb.org/v10?query=1216at7147	WD40-repeat-containing domain
1224at7147	Complete	CM034722.1:24866322-24873216	24866322	24873216	+	3458.0	1799	https://www.orthodb.org/v10?query=1224at7147	DNA polymerase epsilon catalytic subunit
1246at7147	Complete	CM034719.1:13906237-13911531	13906237	13911531	+	2904.8	1413	https://www.orthodb.org/v10?query=1246at7147	Sec7, C-terminal
1270at7147	Complete	CM034722.1:23935931-23949277	23935931	23949277	+	2858.4	1394	https://www.orthodb.org/v10?query=1270at7147	neurexin-1 isoform X1
1273at7147	Complete	CM034722.1:28561169-28570282	28561169	28570282	+	2430.7	1401	https://www.orthodb.org/v10?query=1273at7147	probable Rho GTPase-activating protein CG5521 isoform X1
1288at7147	Complete	CM034720.1:6933743-6915104	6933743	6915104	-	2577.9	1440	https://www.orthodb.org/v10?query=1288at7147	L(2) long form, putative
1297at7147	Complete	CM034720.1:12054507-12062350	12054507	12062350	+	1547.0	1590	https://www.orthodb.org/v10?query=1297at7147	nucleoprotein TPR
1314at7147	Complete	CM034722.1:31399012-31406105	31399012	31406105	+	1501.5	1121	https://www.orthodb.org/v10?query=1314at7147	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
1378at7147	Complete	CM034718.1:15917796-15912760	15917796	15912760	-	2755.0	1374	https://www.orthodb.org/v10?query=1378at7147	Clathrin heavy chain
1388at7147	Complete	CM034720.1:4741769-4688335	4741769	4688335	-	2011.0	1261	https://www.orthodb.org/v10?query=1388at7147	Nipped-B protein
1424at7147	Complete	CM034722.1:12476509-12483650	12476509	12483650	+	1559.5	1359	https://www.orthodb.org/v10?query=1424at7147	FYVE zinc finger
1448at7147	Complete	CM034719.1:19680949-19673619	19680949	19673619	-	1599.0	1245	https://www.orthodb.org/v10?query=1448at7147	Sushi/SCR/CCP domain
1460at7147	Complete	CM034721.1:14309257-14303675	14309257	14303675	-	2072.6	1203	https://www.orthodb.org/v10?query=1460at7147	Neuralized
1492at7147	Complete	CM034719.1:257632-248904	257632	248904	-	760.2	578	https://www.orthodb.org/v10?query=1492at7147	Armadillo-type fold
1519at7147	Complete	CM034722.1:20050585-20042482	20050585	20042482	-	1304.2	1391	https://www.orthodb.org/v10?query=1519at7147	ectopic P granules protein 5 homolog
1524at7147	Complete	CM034722.1:25820531-25838731	25820531	25838731	+	2499.6	1832	https://www.orthodb.org/v10?query=1524at7147	EGF-like calcium-binding, conserved site
1539at7147	Complete	CM034718.1:1955793-1960367	1955793	1960367	+	2503.1	1267	https://www.orthodb.org/v10?query=1539at7147	WD40-repeat-containing domain
1545at7147	Complete	CM034721.1:3244205-3236761	3244205	3236761	-	3091.9	1755	https://www.orthodb.org/v10?query=1545at7147	protein KIAA0100
1553at7147	Complete	CM034721.1:2821621-2825784	2821621	2825784	+	1375.2	953	https://www.orthodb.org/v10?query=1553at7147	Autophagy-related, C-terminal
1616at7147	Complete	CM034720.1:19021607-19013328	19021607	19013328	-	2720.9	1762	https://www.orthodb.org/v10?query=1616at7147	protein dopey-1 homolog
1629at7147	Complete	CM034719.1:2014435-2043847	2014435	2043847	+	2290.6	1561	https://www.orthodb.org/v10?query=1629at7147	WD40-repeat-containing domain
1636at7147	Complete	CM034719.1:199506-205821	199506	205821	+	2737.9	1538	https://www.orthodb.org/v10?query=1636at7147	Dedicator of cytokinesis
1674at7147	Complete	CM034721.1:272296-260383	272296	260383	-	2612.1	2122	https://www.orthodb.org/v10?query=1674at7147	Nucleosome-remodeling factor subunit NURF301
1712at7147	Complete	CM034718.1:793818-819130	793818	819130	+	3015.1	1770	https://www.orthodb.org/v10?query=1712at7147	Immunoglobulin-like domain
1727at7147	Complete	CM034719.1:8229472-8223881	8229472	8223881	-	2666.7	1392	https://www.orthodb.org/v10?query=1727at7147	Alpha-2-macroglobulin, N-terminal
1738at7147	Complete	CM034722.1:29201082-29194240	29201082	29194240	-	1644.7	1078	https://www.orthodb.org/v10?query=1738at7147	Thyroglobulin type-1
1739at7147	Complete	CM034719.1:8272197-8266468	8272197	8266468	-	2266.9	1253	https://www.orthodb.org/v10?query=1739at7147	Protein MON2
1759at7147	Complete	CM034721.1:1535778-1526363	1535778	1526363	-	1220.9	816	https://www.orthodb.org/v10?query=1759at7147	DEP domain-containing protein 5 isoform X1
1786at7147	Complete	CM034718.1:21351087-21358763	21351087	21358763	+	2168.6	1464	https://www.orthodb.org/v10?query=1786at7147	ABC transporter A
1789at7147	Complete	CM034722.1:5823275-5793801	5823275	5793801	-	809.8	430	https://www.orthodb.org/v10?query=1789at7147	afadin isoform X1
1846at7147	Complete	CM034721.1:1064201-1029506	1064201	1029506	-	2075.4	1349	https://www.orthodb.org/v10?query=1846at7147	Dbl homology (DH) domain
1858at7147	Complete	CM034719.1:11649856-11643382	11649856	11643382	-	1918.0	1332	https://www.orthodb.org/v10?query=1858at7147	disks large homolog 5
1898at7147	Complete	CM034718.1:17069886-17059707	17069886	17059707	-	2015.2	1271	https://www.orthodb.org/v10?query=1898at7147	E3 ubiquitin-protein ligase UBR1
1926at7147	Complete	CM034720.1:14799591-14794138	14799591	14794138	-	2056.8	1316	https://www.orthodb.org/v10?query=1926at7147	DNA-directed RNA polymerase subunit
1957at7147	Complete	CM034718.1:17764170-17755568	17764170	17755568	-	1941.5	1189	https://www.orthodb.org/v10?query=1957at7147	Rho GTPase-activating protein domain
1962at7147	Complete	CM034719.1:13896559-13902687	13896559	13902687	+	1263.3	1052	https://www.orthodb.org/v10?query=1962at7147	ABC transporter A
1967at7147	Complete	CM034718.1:15546822-15540316	15546822	15540316	-	1809.1	1280	https://www.orthodb.org/v10?query=1967at7147	anaphase-promoting complex subunit 1
1975at7147	Complete	CM034718.1:14307754-14316761	14307754	14316761	+	2935.1	1422	https://www.orthodb.org/v10?query=1975at7147	Voltage-gated ion channel
2004at7147	Complete	CM034719.1:3793763-3801761	3793763	3801761	+	427.2	251	https://www.orthodb.org/v10?query=2004at7147	PH-like domain superfamily
2027at7147	Complete	CM034721.1:2585200-2558082	2585200	2558082	-	1096.9	806	https://www.orthodb.org/v10?query=2027at7147	Sterile alpha motif domain
2048at7147	Complete	CM034719.1:23241116-23224748	23241116	23224748	-	2992.5	1690	https://www.orthodb.org/v10?query=2048at7147	Chitin binding domain
2092at7147	Complete	CM034718.1:19023700-19036377	19023700	19036377	+	2010.6	1133	https://www.orthodb.org/v10?query=2092at7147	zinc finger SWIM domain-containing protein 8
2104at7147	Complete	CM034719.1:19808382-19886274	19808382	19886274	+	2446.1	1576	https://www.orthodb.org/v10?query=2104at7147	Fibronectin type III
2109at7147	Complete	CM034719.1:663502-658902	663502	658902	-	1748.6	1101	https://www.orthodb.org/v10?query=2109at7147	WD40/YVTN repeat-like-containing domain superfamily
2118at7147	Complete	CM034722.1:31437290-31445991	31437290	31445991	+	1846.8	1324	https://www.orthodb.org/v10?query=2118at7147	Cadherin
2164at7147	Complete	CM034718.1:15602185-15597152	15602185	15597152	-	1374.0	929	https://www.orthodb.org/v10?query=2164at7147	Adenylyl cyclase class-3/4/guanylyl cyclase
2199at7147	Complete	CM034722.1:12858775-12852385	12858775	12852385	-	2489.8	1465	https://www.orthodb.org/v10?query=2199at7147	myotubularin-related protein 13
2200at7147	Complete	CM034718.1:15847621-15853899	15847621	15853899	+	2328.7	1173	https://www.orthodb.org/v10?query=2200at7147	DNA-directed RNA polymerase subunit
2213at7147	Complete	CM034722.1:33037718-33043086	33037718	33043086	+	1814.8	1179	https://www.orthodb.org/v10?query=2213at7147	eIF-2-alpha kinase GCN2
2232at7147	Complete	CM034718.1:569028-579962	569028	579962	+	1687.8	1066	https://www.orthodb.org/v10?query=2232at7147	carboxypeptidase D isoform X1
2233at7147	Complete	CM034719.1:2895015-2890049	2895015	2890049	-	2641.4	1272	https://www.orthodb.org/v10?query=2233at7147	dual oxidase
2249at7147	Complete	CM034720.1:12931967-12926032	12931967	12926032	-	1975.1	1449	https://www.orthodb.org/v10?query=2249at7147	nucleoporin NUP188 homolog
2257at7147	Complete	CM034718.1:10591571-10577159	10591571	10577159	-	729.6	760	https://www.orthodb.org/v10?query=2257at7147	Zinc finger C2H2 superfamily
2273at7147	Complete	CM034719.1:5385928-5404085	5385928	5404085	+	2153.1	1217	https://www.orthodb.org/v10?query=2273at7147	Ankyrin repeat-containing domain
2274at7147	Complete	CM034721.1:15122358-15139204	15122358	15139204	+	1866.3	1131	https://www.orthodb.org/v10?query=2274at7147	Immunoglobulin-like domain
2293at7147	Complete	CM034720.1:15725688-15716896	15725688	15716896	-	2650.1	1377	https://www.orthodb.org/v10?query=2293at7147	Kinesin
2302at7147	Complete	CM034720.1:21230993-21225407	21230993	21225407	-	1979.7	1209	https://www.orthodb.org/v10?query=2302at7147	Cadherin
2306at7147	Complete	CM034721.1:20822593-20817813	20822593	20817813	-	1376.8	944	https://www.orthodb.org/v10?query=2306at7147	Leucine-rich repeat
2315at7147	Complete	CM034721.1:5921058-5926194	5921058	5926194	+	763.6	600	https://www.orthodb.org/v10?query=2315at7147	Ubiquitin specific protease, conserved site
2334at7147	Complete	CM034720.1:16829062-16823485	16829062	16823485	-	2188.8	1191	https://www.orthodb.org/v10?query=2334at7147	Tyrosine-protein kinase receptor
2361at7147	Complete	CM034722.1:23070134-23065179	23070134	23065179	-	1722.5	1229	https://www.orthodb.org/v10?query=2361at7147	DNA polymerase
2377at7147	Complete	CM034719.1:11255992-11260909	11255992	11260909	+	1417.9	1122	https://www.orthodb.org/v10?query=2377at7147	nuclear pore complex protein Nup160 homolog
2383at7147	Complete	CM034721.1:21975370-21983012	21975370	21983012	+	1649.5	924	https://www.orthodb.org/v10?query=2383at7147	Ankyrin repeat-containing domain
2390at7147	Complete	CM034720.1:16091498-16072327	16091498	16072327	-	1968.2	1162	https://www.orthodb.org/v10?query=2390at7147	Leucine-rich repeat
2407at7147	Complete	CM034721.1:22599819-22595283	22599819	22595283	-	1586.1	991	https://www.orthodb.org/v10?query=2407at7147	guanine nucleotide exchange factor subunit Rich
2421at7147	Complete	CM034722.1:32841525-32826078	32841525	32826078	-	2097.7	1067	https://www.orthodb.org/v10?query=2421at7147	protein mesh isoform X1
2437at7147	Complete	CM034719.1:4339950-4365817	4339950	4365817	+	1200.6	624	https://www.orthodb.org/v10?query=2437at7147	Immunoglobulin-like domain
2459at7147	Complete	CM034720.1:15490522-15460456	15490522	15460456	-	2150.5	1128	https://www.orthodb.org/v10?query=2459at7147	transient receptor potential cation channel trpm isoform X1
2483at7147	Complete	CM034719.1:19685027-19689680	19685027	19689680	+	1512.4	1032	https://www.orthodb.org/v10?query=2483at7147	WD40 repeat
2497at7147	Complete	CM034720.1:24213533-24219806	24213533	24219806	+	2110.8	1445	https://www.orthodb.org/v10?query=2497at7147	integrator complex subunit 1
2501at7147	Fragmented	CM034719.1:12139883-12135741	12139883	12135741	-	1255.2	877	https://www.orthodb.org/v10?query=2501at7147	WD40-repeat-containing domain
2540at7147	Complete	CM034720.1:16509072-16515718	16509072	16515718	+	1146.0	582	https://www.orthodb.org/v10?query=2540at7147	Ferric reductase, NAD binding domain
2590at7147	Complete	CM034722.1:25249646-25244730	25249646	25244730	-	866.0	593	https://www.orthodb.org/v10?query=2590at7147	Ubiquitin-conjugating enzyme E2
2598at7147	Complete	CM034722.1:25697225-25692214	25697225	25692214	-	1442.7	882	https://www.orthodb.org/v10?query=2598at7147	Unconventional myosin 95e isoform
2625at7147	Complete	CM034722.1:16457117-16452399	16457117	16452399	-	1611.7	1057	https://www.orthodb.org/v10?query=2625at7147	Zinc finger, RING/FYVE/PHD-type
2656at7147	Complete	CM034718.1:13749905-13754164	13749905	13754164	+	1051.7	835	https://www.orthodb.org/v10?query=2656at7147	BRCT domain
2661at7147	Complete	CM034719.1:15292066-15277361	15292066	15277361	-	1479.1	1052	https://www.orthodb.org/v10?query=2661at7147	Leucine-rich repeat
2687at7147	Complete	CM034718.1:15178778-15197564	15178778	15197564	+	2251.6	1371	https://www.orthodb.org/v10?query=2687at7147	Rab3 GDP-GTP exchange factor, isoform G
2714at7147	Complete	CM034722.1:16595868-16599119	16595868	16599119	+	1597.8	785	https://www.orthodb.org/v10?query=2714at7147	Cytoplasmic FMR1-interacting protein
2750at7147	Complete	CM034721.1:867482-862450	867482	862450	-	2221.7	1082	https://www.orthodb.org/v10?query=2750at7147	WD40/YVTN repeat-like-containing domain superfamily
2752at7147	Complete	CM034718.1:9105835-9097033	9105835	9097033	-	1885.3	940	https://www.orthodb.org/v10?query=2752at7147	Phosphorylase b kinase regulatory subunit
2768at7147	Complete	CM034721.1:9689951-9696094	9689951	9696094	+	2288.8	1297	https://www.orthodb.org/v10?query=2768at7147	Laminin, N-terminal
2780at7147	Complete	CM034721.1:19989443-19984739	19989443	19984739	-	1701.4	1046	https://www.orthodb.org/v10?query=2780at7147	trafficking protein particle complex subunit 8
2789at7147	Complete	CM034722.1:25858078-25853553	25858078	25853553	-	1093.8	1023	https://www.orthodb.org/v10?query=2789at7147	protein RRP5 homolog
2817at7147	Complete	CM034721.1:1965895-1953579	1965895	1953579	-	2560.3	2200	https://www.orthodb.org/v10?query=2817at7147	WD40-repeat-containing domain
2831at7147	Complete	CM034722.1:17325172-17332851	17325172	17332851	+	3692.4	2069	https://www.orthodb.org/v10?query=2831at7147	Microtubule associated protein xmap215
2841at7147	Complete	CM034719.1:13317843-13313739	13317843	13313739	-	1051.9	736	https://www.orthodb.org/v10?query=2841at7147	Leucine-rich repeat
2843at7147	Complete	CM034721.1:3224828-3236304	3224828	3236304	+	1533.8	993	https://www.orthodb.org/v10?query=2843at7147	trafficking protein particle complex subunit 11
2889at7147	Complete	CM034719.1:20778209-20773718	20778209	20773718	-	1521.4	922	https://www.orthodb.org/v10?query=2889at7147	protein brunelleschi
2891at7147	Complete	CM034722.1:25783993-25685865	25783993	25685865	-	1966.9	1059	https://www.orthodb.org/v10?query=2891at7147	myosin heavy chain 95F isoform X1
2918at7147	Complete	CM034720.1:12566115-12572934	12566115	12572934	+	2211.6	1224	https://www.orthodb.org/v10?query=2918at7147	Sec7 domain
2948at7147	Complete	CM034718.1:4537016-4542976	4537016	4542976	+	955.0	655	https://www.orthodb.org/v10?query=2948at7147	Zinc finger C2H2 superfamily
2953at7147	Complete	CM034722.1:30224950-30220449	30224950	30220449	-	2350.6	1222	https://www.orthodb.org/v10?query=2953at7147	Ankyrin repeat-containing domain
2987at7147	Complete	CM034722.1:26333809-26328949	26333809	26328949	-	1976.4	1209	https://www.orthodb.org/v10?query=2987at7147	High mobility group box domain
3013at7147	Complete	CM034719.1:8401419-8394402	8401419	8394402	-	488.5	1476	https://www.orthodb.org/v10?query=3013at7147	Sperm-tail PG-rich repeat
3067at7147	Complete	CM034719.1:16296630-16304485	16296630	16304485	+	1600.5	927	https://www.orthodb.org/v10?query=3067at7147	voltage-dependent calcium channel subunit alpha-2/delta-3
3077at7147	Complete	CM034719.1:7116369-7108133	7116369	7108133	-	1237.6	1092	https://www.orthodb.org/v10?query=3077at7147	Protein SOGA
3078at7147	Complete	CM034720.1:21495560-21500522	21495560	21500522	+	2278.0	1297	https://www.orthodb.org/v10?query=3078at7147	Glycogen debranching enzyme
3095at7147	Complete	CM034722.1:8478988-8516549	8478988	8516549	+	2139.8	1225	https://www.orthodb.org/v10?query=3095at7147	Diacylglycerol kinase
3096at7147	Complete	CM034722.1:15913157-15920012	15913157	15920012	+	2519.0	1563	https://www.orthodb.org/v10?query=3096at7147	cadherin-23
3107at7147	Complete	CM034720.1:23052972-23058102	23052972	23058102	+	1822.1	1107	https://www.orthodb.org/v10?query=3107at7147	Mediator of RNA polymerase II transcription subunit 23
3153at7147	Complete	CM034722.1:21198388-21204195	21198388	21204195	+	1659.4	983	https://www.orthodb.org/v10?query=3153at7147	Mitogen activated protein kinase kinase kinase 5, mapkkk5, mekk5
3183at7147	Complete	CM034718.1:14273560-14268338	14273560	14268338	-	1553.4	903	https://www.orthodb.org/v10?query=3183at7147	type I inositol 3,4-bisphosphate 4-phosphatase
3196at7147	Complete	CM034722.1:25505002-25520283	25505002	25520283	+	1294.5	752	https://www.orthodb.org/v10?query=3196at7147	Diacylglycerol kinase
3208at7147	Complete	CM034720.1:6215586-6206764	6215586	6206764	-	1411.5	849	https://www.orthodb.org/v10?query=3208at7147	WD40-repeat-containing domain
3236at7147	Complete	CM034720.1:12829705-12825004	12829705	12825004	-	1227.9	686	https://www.orthodb.org/v10?query=3236at7147	Paired amphipathic helix
3250at7147	Complete	CM034719.1:18636168-18640953	18636168	18640953	+	2174.9	1134	https://www.orthodb.org/v10?query=3250at7147	Haem peroxidase
3264at7147	Complete	CM034722.1:31578028-31582965	31578028	31582965	+	1522.2	1011	https://www.orthodb.org/v10?query=3264at7147	Leucine-rich repeat
